"LakeID","LakeTR","annual_ave_95_10","Lon_centre","Lat_centre"
1714,"T",15.5386238293151,-88.8403,44.1486
1730,"C",8.31159838557848,89.6486,30.9486
1735,"T",15.2546709397686,-78.1014,48.2514
1740,"H",25.6324333024456,-60.2431,-15.5125
1745,"C",7.51453420753143,-150.4347,60.4347
1756,"T",14.3206546264319,-74.1903,43.1319
1787,"C",13.5958181196616,111.4986,52.6181
1790,"F",7.89671123351368,89.7875,33.0486
1815,"C",13.7413300911514,-92.2347,54.1653
1818,"T",13.7043451311786,-81.9486,45.7486
1827,"F",8.70015188245196,84.1431,32.0319
1831,"C",11.8078360367491,12.6597,59.5486
1832,"C",13.3037319584409,-113.9292,56.0542
1840,"T",13.363077390251,43.5764,38.6847
1853,"H",24.998897310591,-57.5458,-18.1708
1887,"C",16.8453657105664,70.6264,53.8375
1891,"F",7.08003833728519,89.2458,35.3292
1893,"C",12.5009076184113,15.6236,58.5125
1908,"C",14.4400072598015,-107.4264,54.4569
1910,"C",13.8141939130033,-114.0347,53.0181
1913,"W",19.0193467947303,21.5625,38.5736
1945,"C",13.7000532372287,-108.1347,54.9014
1958,"C",14.9045533438592,60.3958,55.3875
1970,"F",8.96588253429828,89.0208,31.0403
1971,"C",7.52375989199884,89.2042,31.2292
1984,"C",10.421173109697,14.4458,58.7931
1997,"C",14.6225594736443,65.0236,60.6375
2021,"C",13.8489148559828,-96.6819,54.5097
2027,"C",15.6423860282721,40.7069,57.9153
2032,"W",14.3657748039936,-120.6986,40.7014
2054,"C",13.5126778041699,26.6736,61.2153
2064,"C",15.1815971089322,-99.5097,52.8681
2097,"C",15.1724345401665,-93.4875,50.7597
2116,"C",7.59781539063848,88.2208,31.8208
2117,"C",14.526050372136,-116.5597,62.0653
2124,"H",22.4582801077146,38.4264,7.0347
2129,"T",16.1749537196027,28.3986,45.3681
2162,"C",14.2450649642123,-114.0236,52.5597
2168,"H",16.6880392028579,-93.9653,33.7292
2179,"C",13.6285811658568,-94.1653,55.0569
2186,"F",6.25734837705324,-21.1486,64.2097
2192,"C",14.0824385341389,-112.8597,52.4875
2199,"F",7.66146085309687,-50.9375,66.7542
2202,"F",9.02925415242667,83.5347,32.1292
2203,"F",5.22537788866543,84.0681,30.4292
2228,"T",5.8010588163235,-72.4653,-52.0208
2253,"T",15.1708802455534,-121.1792,41.8792
2262,"C",10.4439689602902,-136.9958,60.4819
2270,"C",12.5431002848072,95.1347,48.4569
2271,"H",26.1341265374633,45.8319,-16.1458
2304,"F",6.73768057652363,84.6458,35.4292
2305,"F",7.04096640101764,83.1153,35.2931
2317,"T",12.7820514911066,12.4681,47.8903
2323,"C",11.8218168625594,-114.6514,56.6514
2326,"C",15.2878823082204,-115.3792,53.6542
2330,"C",14.0157286390233,-99.6958,54.4653
2336,"C",12.0755593232134,16.6931,61.8931
2345,"T",16.1241577448477,-84.7292,44.3403
2351,"C",14.567239136013,-114.7347,60.2597
2358,"C",12.3522573067385,15.9653,58.6208
2364,"W",17.6268329208264,-2.7486,31.5375
2367,"C",13.2636621754065,-96.5819,56.2014
2368,"C",14.4979902809451,-104.1069,54.4208
